Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT_SWITCH1,SKRPABE010,SW_SKRPABE010,160.4,-78.3,180.0,top
C1,10u,C_0402_1005Metric,105.0,-104.9,-90.0,top
C10,100n,C_0402_1005Metric,157.0,-78.3,-90.0,top
C11,10u,C_0402_1005Metric,164.6,-88.45,180.0,top
C12,100n,C_0402_1005Metric,164.6,-87.42,180.0,top
C13,100n,C_0402_1005Metric,166.4,-105.55,180.0,top
C14,10u,C_0402_1005Metric,166.4,-106.55,180.0,top
C15,1u,C_0402_1005Metric,150.3,-98.414,0.0,top
C16,10u,C_0402_1005Metric,148.776,-104.002,180.0,top
C17,10u,C_0402_1005Metric,112.65,-89.6,-90.0,top
C18,100n,C_0402_1005Metric,113.75,-89.6,90.0,top
C19,10u,C_0402_1005Metric,117.25,-106.4625,-90.0,top
C2,100n,C_0402_1005Metric,103.9,-104.9,-90.0,top
C20,10u,C_0402_1005Metric,113.65,-99.4625,90.0,top
C21,100n,C_0402_1005Metric,112.55,-99.4625,-90.0,top
C22,100n,C_0402_1005Metric,117.25,-108.4625,-90.0,top
C23,100n,C_0402_1005Metric,114.75,-99.4625,90.0,top
C24,10u,C_0402_1005Metric,115.85,-99.4625,-90.0,top
C25,10u,C_0402_1005Metric,110.05,-99.4625,-90.0,top
C26,100n,C_0402_1005Metric,111.05,-99.4625,90.0,top
C27,100n,C_0402_1005Metric,111.55,-109.4625,0.0,top
C28,10u,C_0402_1005Metric,111.55,-108.3625,180.0,top
C29,10u,C_0402_1005Metric,121.7,-89.5875,-90.0,top
C3,10u,C_0402_1005Metric,106.1,-111.1,90.0,top
C30,100n,C_0402_1005Metric,122.8,-89.5875,90.0,top
C31,10u,C_0402_1005Metric,126.3,-106.4625,-90.0,top
C32,10u,C_0402_1005Metric,122.7,-99.4625,90.0,top
C33,100n,C_0402_1005Metric,121.6,-99.4625,-90.0,top
C34,100n,C_0402_1005Metric,126.3,-108.4625,-90.0,top
C35,100n,C_0402_1005Metric,123.8,-99.4625,90.0,top
C36,10u,C_0402_1005Metric,124.9,-99.4625,-90.0,top
C37,10u,C_0402_1005Metric,119.1,-99.4625,-90.0,top
C38,100n,C_0402_1005Metric,120.1,-99.4625,90.0,top
C39,100n,C_0402_1005Metric,120.6,-109.4625,0.0,top
C4,100n,C_0402_1005Metric,105.0,-111.1,90.0,top
C40,10u,C_0402_1005Metric,120.6,-108.3625,180.0,top
C41,10u,C_0402_1005Metric,130.8,-89.6,-90.0,top
C42,100n,C_0402_1005Metric,131.9,-89.6,90.0,top
C43,10u,C_0402_1005Metric,135.4,-106.4625,-90.0,top
C44,10u,C_0402_1005Metric,131.8,-99.4625,90.0,top
C45,100n,C_0402_1005Metric,130.7,-99.4625,-90.0,top
C46,100n,C_0402_1005Metric,135.4,-108.4625,-90.0,top
C47,100n,C_0402_1005Metric,132.9,-99.4625,90.0,top
C48,10u,C_0402_1005Metric,134.0,-99.4625,-90.0,top
C49,10u,C_0402_1005Metric,128.2,-99.4625,-90.0,top
C5,10u,C_0402_1005Metric,103.9,-111.1,-90.0,top
C50,100n,C_0402_1005Metric,129.2,-99.4625,90.0,top
C51,100n,C_0402_1005Metric,129.7,-109.4625,0.0,top
C52,10u,C_0402_1005Metric,129.7,-108.3625,180.0,top
C53,10u,C_0402_1005Metric,139.9,-89.6,-90.0,top
C54,100n,C_0402_1005Metric,141.0,-89.6,90.0,top
C55,10u,C_0402_1005Metric,144.5,-106.4625,-90.0,top
C56,10u,C_0402_1005Metric,140.9,-99.4625,90.0,top
C57,100n,C_0402_1005Metric,139.8,-99.4625,-90.0,top
C58,100n,C_0402_1005Metric,144.5,-108.4625,-90.0,top
C59,100n,C_0402_1005Metric,142.0,-99.4625,90.0,top
C6,100n,C_0402_1005Metric,102.8,-111.1,-90.0,top
C60,10u,C_0402_1005Metric,143.1,-99.4625,-90.0,top
C61,10u,C_0402_1005Metric,137.3,-99.4625,-90.0,top
C62,100n,C_0402_1005Metric,138.3,-99.4625,90.0,top
C63,100n,C_0402_1005Metric,138.8,-109.4625,0.0,top
C64,10u,C_0402_1005Metric,138.8,-108.3625,180.0,top
C65,100n,C_0402_1005Metric,159.4,-86.5,90.0,top
C66,4.7u,C_0402_1005Metric,161.78,-83.9,180.0,top
C67,100n,C_0402_1005Metric,161.78,-84.9,180.0,top
C68,4.7u,C_0402_1005Metric,158.4,-86.5,90.0,top
C69,10u,C_0402_1005Metric,117.1,-80.4,90.0,top
C7,100u,C_1206_3216Metric,103.6,-93.0,0.0,top
C70,10u,C_0402_1005Metric,126.1,-80.8,180.0,top
C71,100n,C_0402_1005Metric,115.3,-83.8,180.0,top
C72,1u,C_0402_1005Metric,103.8,-91.3,180.0,top
C73,10u,C_0402_1005Metric,103.8,-90.3,180.0,top
C74,1u,C_0402_1005Metric,105.3,-90.8,90.0,top
C75,10u,C_0402_1005Metric,133.4,-82.9,0.0,top
C76,1u,C_0402_1005Metric,103.825,-99.5,180.0,top
C77,10u,C_0402_1005Metric,103.825,-100.5,180.0,top
C78,1u,C_0402_1005Metric,105.325,-100.0,90.0,top
C79,100n,C_0402_1005Metric,148.776,-102.986,180.0,top
C8,100u,C_1206_3216Metric,103.6,-102.2,0.0,top
C80,10u,C_0402_1005Metric,150.808,-104.002,180.0,top
C81,100n,C_0402_1005Metric,150.808,-102.986,180.0,top
C9,100n,C_0402_1005Metric,163.8,-78.3,-90.0,top
CF1,360p,C_0805_2012Metric,110.95,-105.8625,180.0,top
CF2,360p,C_0805_2012Metric,120.0,-105.8625,180.0,top
CF3,360p,C_0805_2012Metric,129.1,-105.8625,180.0,top
CF4,360p,C_0805_2012Metric,138.2,-105.8625,180.0,top
D1,D_Schottky,D_SMA,138.0,-82.1,0.0,top
IC1,TP4056,SOP-8,121.4,-78.9,0.0,top
J10,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,145.05,-117.0775,0.0,top
J11,USB_B_Micro,USB_Micro-B_Molex-105017-0001,143.2,-77.7,180.0,top
J7,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,109.05,-117.0775,0.0,top
J8,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,121.05,-117.0775,0.0,top
J9,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,133.05,-117.0775,0.0,top
LED_CHRG1,LED,LED_0402_1005Metric,126.7,-78.9,90.0,top
LED_INFO1,LED,LED_0402_1005Metric,170.434,-112.0,180.0,top
LED_INFO2,LED,LED_0402_1005Metric,170.434,-110.0,180.0,top
LED_INFO3,LED,LED_0402_1005Metric,170.434,-108.0,180.0,top
LED_INFO4,LED,LED_0402_1005Metric,170.434,-106.0,180.0,top
LED_PWR1,LED,LED_0402_1005Metric,161.985,-86.1,180.0,top
LED_PWR2,LED,LED_0402_1005Metric,104.8,-85.7,180.0,top
LED_PWR3,LED,LED_0402_1005Metric,104.815,-94.9,180.0,top
Q1,SS8050-G,TRANS_SS8050-G,149.8,-82.0,180.0,top
Q2,SS8050-G,TRANS_SS8050-G,152.6,-86.1,0.0,top
Q3,DMG2305,SOT-23,136.7,-78.5,0.0,top
R1,470,R_0402_1005Metric,168.5,-112.0,0.0,top
R12,1k,R_0402_1005Metric,115.35,-89.2625,180.0,top
R13,47,R_0402_1005Metric,116.65,-91.4625,180.0,top
R14,47,R_0402_1005Metric,116.75,-97.3625,180.0,top
R15,47,R_0402_1005Metric,116.75,-96.2625,180.0,top
R16,47,R_0402_1005Metric,116.65,-90.3625,180.0,top
R17,47,R_0402_1005Metric,116.75,-95.1625,180.0,top
R18,1k,R_0402_1005Metric,124.4,-89.2625,180.0,top
R19,47,R_0402_1005Metric,125.7,-91.4625,180.0,top
R2,470,R_0402_1005Metric,168.5,-110.0,0.0,top
R20,47,R_0402_1005Metric,125.8,-97.3625,180.0,top
R21,47,R_0402_1005Metric,125.8,-96.2625,180.0,top
R22,47,R_0402_1005Metric,125.7,-90.3625,180.0,top
R23,47,R_0402_1005Metric,125.8,-95.1625,180.0,top
R24,1k,R_0402_1005Metric,133.5,-89.2625,180.0,top
R25,47,R_0402_1005Metric,134.8,-91.4625,180.0,top
R26,47,R_0402_1005Metric,134.9,-97.3625,180.0,top
R27,47,R_0402_1005Metric,134.9,-96.2625,180.0,top
R28,47,R_0402_1005Metric,134.8,-90.3625,180.0,top
R29,47,R_0402_1005Metric,134.9,-95.1625,180.0,top
R3,47,R_0402_1005Metric,102.8,-104.9,-90.0,top
R30,1k,R_0402_1005Metric,142.6,-89.2625,180.0,top
R31,47,R_0402_1005Metric,143.9,-91.4625,180.0,top
R32,47,R_0402_1005Metric,144.0,-97.3625,180.0,top
R33,47,R_0402_1005Metric,144.0,-96.2625,180.0,top
R34,47,R_0402_1005Metric,143.9,-90.3625,180.0,top
R35,47,R_0402_1005Metric,144.0,-95.1625,180.0,top
R36,470,R_0402_1005Metric,160.4,-86.5,-90.0,top
R37,1k,R_0402_1005Metric,160.6,-82.8,0.0,top
R38,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,153.1025,-83.2,180.0,top
R39,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,153.0975,-82.1,0.0,top
R4,470,R_0402_1005Metric,168.5,-108.0,0.0,top
R40,10k,R_0402_1005Metric,160.2,-84.4,-90.0,top
R41,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,157.4,-86.7,90.0,top
R42,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,156.4,-86.6975,-90.0,top
R43,1k,R_0402_1005Metric,125.7,-78.9,90.0,top
R44,10k,R_0402_1005Metric,113.3,-82.8,180.0,top
R45,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,149.4,-79.6,0.0,top
R46,4k7,R_0402_1005Metric,117.1,-78.4,-90.0,top
R47,10k,R_0402_1005Metric,149.3,-85.3,-90.0,top
R48,1k,R_0402_1005Metric,115.3,-82.8,180.0,top
R49,10k,R_0402_1005Metric,150.4,-85.3,90.0,top
R5,470,R_0402_1005Metric,168.8,-106.2,90.0,top
R50,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,154.8,-86.7,-90.0,top
R51,470,R_0402_1005Metric,102.8,-85.7,0.0,top
R52,10k,R_0402_1005Metric,135.4,-76.2,0.0,top
R53,470,R_0402_1005Metric,102.815,-94.905,0.0,top
R6,10k,R_0402_1005Metric,163.1,-87.95,-90.0,top
R7,10k,R_0402_1005Metric,164.8,-106.05,90.0,top
RESET_SWITCH1,SKRPABE010,SW_SKRPABE010,153.6,-78.3,180.0,top
RF1,2G,R_0805_2012Metric,110.95,-103.8625,180.0,top
RF2,2G,R_0805_2012Metric,120.0,-103.8625,180.0,top
RF3,2G,R_0805_2012Metric,129.1,-103.8625,180.0,top
RF4,2G,R_0805_2012Metric,138.2,-103.8625,180.0,top
S1,SK-12D02-VG3,SK12D02VG3,110.0,-77.2,180.0,top
U1,TPS73616DBV,SOT-23-5,103.9,-108.0,-90.0,top
U10,AD8605ARTZ,SOT-23-5,141.9,-107.9625,0.0,top
U11,USBLC6-2P6,SOT-666,145.1,-81.7,0.0,top
U12,CP2102N-Axx-xQFN24,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,156.95,-82.85,90.0,top
U13,AP2112K-3.3,SOT-23-5,103.8,-88.0,180.0,top
U14,AP2112K-3.3,SOT-23-5,103.825,-97.2,180.0,top
U15,LM2775DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,150.3,-100.7,-90.0,top
U2,ESP32-S3-MINI-1-N8,XCVR_ESP32-S3-MINI-1-N8,159.85,-97.05,-90.0,top
U3,ADS1220xPW,TSSOP-16_4.4x5mm_P0.65mm,112.8,-94.4875,-90.0,top
U4,AD8605ARTZ,SOT-23-5,114.65,-107.9625,0.0,top
U5,ADS1220xPW,TSSOP-16_4.4x5mm_P0.65mm,121.85,-94.4875,-90.0,top
U6,AD8605ARTZ,SOT-23-5,123.7,-107.9625,0.0,top
U7,ADS1220xPW,TSSOP-16_4.4x5mm_P0.65mm,130.95,-94.5,-90.0,top
U8,AD8605ARTZ,SOT-23-5,132.8,-107.9625,0.0,top
U9,ADS1220xPW,TSSOP-16_4.4x5mm_P0.65mm,140.05,-94.5,-90.0,top
X1,JST-PH,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,132.1,-78.9,-90.0,top
